paper_id,corpus_in_degree,corpus_out_degree,pagerank,pagerank_percentile,k_core,component,age_normalized_citation_signal,age_normalized_citation_percentile
000123fcf516303018d35f4d7c275914b0951878,0,0,0.00012678281609745183,0.0,0,932,1.3942653788687396,0.7605521635253517
000dc73202203b4f2f510b7998ace7371bee9b7b,1,3,0.00023451171059146926,0.8741704273958056,3,1,0.40018871128431455,0.1943190868064773
0010e084c682454aef23a37eb89228c310669aaa,0,11,0.00012678281609745183,0.0002654632333421821,9,1,0.0,0.0
0015050ee81c66d6d08ebefa1c3fda6bd1144cd3,0,0,0.00012678281609745183,0.0005309264666843643,0,1392,1.2855317759603,0.6851606052561721
005f55a71a27a468417203a0827e8e3462189cbf,2,1,0.00013980912656377066,0.7294929652243164,3,1,1.8235301810747848,0.931510485797717
008d409c4daaad89f5cc0fced8845d323a9f1109,0,0,0.00012678281609745183,0.0007963897000265463,0,660,1.0479400352726855,0.5033182904167772
008d769f521e1dde6058a15de416316bc65f8fbd,0,0,0.00012678281609745183,0.0010618529333687285,0,1348,0.3099848428288717,0.17414388107247147
0096736824c6ba479dc6c25f3f905585c981fddb,1,5,0.00023451171059146926,0.8744358906291478,3,1,1.3141005527179,0.7029466418900983
009b1f1dcbf624e899a2fb84485db3c4bc90e695,0,0,0.00012678281609745183,0.0013273161667109105,0,1285,1.2020621796198614,0.619591186620653
00a01bf59871e8a25abfc9647d952a75d8b6bff5,1,3,0.00013311980989121758,0.6915317228563844,4,1,0.2829761515034443,0.16856915317228563
00af4504cd311dd35e3df261b34fa49d5f182daa,18,20,0.0010453451791053918,0.9715954340323865,11,1,1.2241812474815268,0.6363153703212105
00bab550620fb50942b59fbdfaff91005ac5cb9c,0,2,0.00012678281609745183,0.0015927794000530925,2,1,0.9292094119878171,0.4151844969471728
00c00271b517d7c8c6b0c1f0d8fa52d65700978a,5,0,0.00031293006558543574,0.906822405096894,3,1,1.3337492108227176,0.7194053623573136
00c620defaa00a1d5fe41309ab4d4ceede769cfb,0,8,0.00012678281609745183,0.0018582426333952748,6,1,0.0,0.0002654632333421821
